Codigo_Litigio,Item_Fatura,Status,Empresa,Centro,Grupo_Compradores,Data_Criacao,Fornecedor,Nome_Fornecedor,Documento_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preco_Contrato,Preco_Fatura,Valor_Diferenca,Montante,Item_Contrato,
2793445,2,NFL,483,FAS,SCO,5/4/2025,110781,FORNECEDOR,4508612889,20,738214780R,PEÇA,000129234-1,120,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 22.578,00",710695,20
2793445,3,NFL,483,FAS,SCO,5/4/2025,110781,FORNECEDOR,4508612889,30,738216242R,PEÇA,000129234-1,120,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 22.578,00",710695,30
2793445,4,NFL,483,FAS,SCO,5/4/2025,110781,FORNECEDOR,4508612889,40,738217174R,PEÇA,000129234-1,96,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 21.186,24",710695,40
2793559,3,NFL,483,FVU,SCO,5/4/2025,102294,FORNECEDOR,4508613922,30,749028808R,PEÇA,000207202-1,8,"R$ 349,06","R$ 396,65","R$ 47,59","R$ 380,72",4600016937,200
2794107,1,NFL,483,FAS,SCO,5/4/2025,101517,FORNECEDOR,4508614705,10,484005466R,PEÇA,835208-1,360,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 10.918,80",586909,90
2795193,2,NFL,483,FAS,SCO,7/4/2025,102294,FORNECEDOR,4508616981,20,679002227R,PEÇA,000207237-1,50,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 129,00",4600016932,1330
2795298,1,NFL,483,FVU,SCO,8/4/2025,137008,FORNECEDOR,4508616347,10,762314906R,PEÇA,000053516-1,500,"R$ 40,34","R$ 42,02","R$ 1,68","R$ 840,00",726754,10
2795606,1,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508563155,10,732562803R,PEÇA,24017-1,165,"R$ 14,62","R$ 16,62","R$ 2,00","R$ 330,00",654894,20
2795606,2,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508563155,20,732566668R,PEÇA,24017-1,1.320,"R$ 13,41","R$ 15,24","R$ 1,83","R$ 2.415,60",654894,30
2795609,1,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508574610,10,732562803R,PEÇA,24083-1,165,"R$ 14,62","R$ 16,62","R$ 2,00","R$ 330,00",654894,20
2795609,2,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508574610,20,732566668R,PEÇA,24083-1,330,"R$ 13,41","R$ 15,24","R$ 1,83","R$ 603,90",654894,30
2795613,1,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508585565,10,732503871R,PEÇA,24175-1,165,"R$ 24,28","R$ 27,59","R$ 3,31","R$ 546,15",654894,10
2795613,2,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508585565,20,732562803R,PEÇA,24175-1,165,"R$ 14,62","R$ 16,62","R$ 2,00","R$ 330,00",654894,20
2795613,3,NFL,483,FVU,SCO,8/4/2025,117680,FORNECEDOR,4508585565,30,732566668R,PEÇA,24175-1,1.815,"R$ 13,41","R$ 15,24","R$ 1,83","R$ 3.321,45",654894,30
2796501,1,NFL,483,FAS,SCO,8/4/2025,122841,FORNECEDOR,4508617272,10,476607676R,PEÇA,530931-1,66,"R$ 628,93","R$ 648,39","R$ 19,46","R$ 1.284,36",708267,70
2796562,5,NFL,483,SJP,SCO,8/4/2025,132610,FORNECEDOR,4508564437,50,682380471R,PEÇA,82709-1,1.800,"R$ 4,66","R$ 5,46","R$ 0,80","R$ 1.440,00",576332,180
2796634,3,NFL,483,SJP,SCO,8/4/2025,132610,FORNECEDOR,4508596705,30,682380471R,PEÇA,83227-1,1.800,"R$ 4,66","R$ 5,46","R$ 0,80","R$ 1.440,00",576332,180
2796900,1,NFL,483,FAS,SCO,9/4/2025,110781,FORNECEDOR,4508618751,10,738206375R,PEÇA,000129262-1,144,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 31.779,36",710695,10
2796900,2,NFL,483,FAS,SCO,9/4/2025,110781,FORNECEDOR,4508618751,20,738214780R,PEÇA,000129262-1,312,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 58.702,80",710695,20
2796900,3,NFL,483,FAS,SCO,9/4/2025,110781,FORNECEDOR,4508618751,30,738216242R,PEÇA,000129262-1,312,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 58.702,80",710695,30
2796900,4,NFL,483,FAS,SCO,9/4/2025,110781,FORNECEDOR,4508618751,40,738217174R,PEÇA,000129262-1,168,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 37.075,92",710695,40
2797733,1,NFL,483,SJP,SCO,10/4/2025,132610,FORNECEDOR,4508620503,10,668356799R,PEÇA,000083575-1,2.600,"R$ 0,68","R$ 0,89","R$ 0,21","R$ 546,00",576332,110
2797741,1,NFL,483,FAS,SCO,10/4/2025,101384,FORNECEDOR,4508620386,10,739102859R,PEÇA,000398650-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2797742,1,NFL,483,FAS,SCO,10/4/2025,101384,FORNECEDOR,4508620388,10,739105089R,PEÇA,000398651-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,730
2797776,1,NFL,483,SJP,SCO,10/4/2025,101384,FORNECEDOR,4508621594,10,739102859R,PEÇA,000398693-1,150,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 759,00",526162,340
2797777,1,NFL,483,SJP,SCO,10/4/2025,101384,FORNECEDOR,4508621595,10,739105089R,PEÇA,000398694-1,300,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 1.518,00",526162,350
2797944,1,NFL,483,CRAG,SCO,10/4/2025,101912,FORNECEDOR,4508621585,10,231000711R,PEÇA,000154095-7,80,"R$ 214,50","R$ 218,83","R$ 4,33","R$ 346,40",749618,20
2798280,5,NFL,483,SJP,SCO,10/4/2025,112619,FORNECEDOR,4508601034,50,62010J571R,PEÇA,808780-1,252,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 171,36",721563,10
2798301,1,NFL,483,SJP,SCO,10/4/2025,146712,FORNECEDOR,4508602155,10,132011477R,PEÇA,4969-7,4.158,"R$ 4,26","R$ 4,64","R$ 0,38","R$ 1.580,04",726733,10
2799233,1,NFL,483,FAS,SCO,11/4/2025,110781,FORNECEDOR,4508624335,10,738206375R,PEÇA,000129298-1,48,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 10.593,12",710695,10
2799233,2,NFL,483,FAS,SCO,11/4/2025,110781,FORNECEDOR,4508624335,20,738214780R,PEÇA,000129298-1,120,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 22.578,00",710695,20
2799233,3,NFL,483,FAS,SCO,11/4/2025,110781,FORNECEDOR,4508624335,30,738216242R,PEÇA,000129298-1,144,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 27.093,60",710695,30
2799233,4,NFL,483,FAS,SCO,11/4/2025,110781,FORNECEDOR,4508624335,40,738217174R,PEÇA,000129298-1,48,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 10.593,12",710695,40
2800080,1,NFL,483,FAS,SCO,11/4/2025,129702,FORNECEDOR,4508624569,10,727124285R,PEÇA,481748-2,41,"R$ 150,65","R$ 185,86","R$ 35,21","R$ 1.443,61",693909,10
2800259,1,NFL,483,FAS,SCO,11/4/2025,101384,FORNECEDOR,4508625734,10,739102859R,PEÇA,398892-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2800260,1,NFL,483,FAS,SCO,11/4/2025,101384,FORNECEDOR,4508625736,10,739105089R,PEÇA,398893-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,730
2800793,1,NFL,483,FAS,SCO,12/4/2025,110781,FORNECEDOR,4508626454,10,738214780R,PEÇA,000129316-1,336,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 63.218,40",710695,20
2800793,2,NFL,483,FAS,SCO,12/4/2025,110781,FORNECEDOR,4508626454,20,738216242R,PEÇA,000129316-1,336,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 63.218,40",710695,30
2800802,1,NFL,483,FAS,SCO,12/4/2025,110781,FORNECEDOR,4508626459,10,738206375R,PEÇA,000129320-1,96,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 21.186,24",710695,10
2800802,2,NFL,483,FAS,SCO,12/4/2025,110781,FORNECEDOR,4508626459,20,738217174R,PEÇA,000129320-1,96,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 21.186,24",710695,40
2803693,1,NFL,483,FAS,SCO,16/4/2025,102294,FORNECEDOR,4508634091,10,679000282R,PEÇA,000207573-1,175,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 84,00",731927,30
2804035,1,NFL,483,FAS,SCO,17/4/2025,110781,FORNECEDOR,4508633565,10,738206375R,PEÇA,000129342-1,72,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 15.889,68",710695,10
2804121,2,NFL,483,FVU,SCO,17/4/2025,132610,FORNECEDOR,4508634742,20,682387457R,PEÇA,000083751-1,4.500,"R$ 0,55","R$ 0,56","R$ 0,01","R$ 45,00",572033,130
2804126,1,NFL,483,FAS,SCO,17/4/2025,101384,FORNECEDOR,4508634045,10,739105089R,PEÇA,000399261-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2804135,1,NFL,483,SJP,SCO,17/4/2025,101384,FORNECEDOR,4508631998,10,739102859R,PEÇA,000399277-1,105,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 531,30",526162,340
2804136,1,NFL,483,SJP,SCO,17/4/2025,101384,FORNECEDOR,4508631999,10,739105089R,PEÇA,000399278-1,90,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 455,40",526162,350
2804218,1,NFL,483,FAS,SCO,17/4/2025,102294,FORNECEDOR,4508633875,10,679000282R,PEÇA,000207549-1,100,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 48,00",731927,30
2804358,1,NFL,483,FAS,SCO,17/4/2025,102294,FORNECEDOR,4508635323,10,679000282R,PEÇA,000207602-1,150,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 72,00",731927,30
2804612,1,NFL,483,CRAG,SCO,17/4/2025,101912,FORNECEDOR,4508635590,10,231000711R,PEÇA,000154940-7,320,"R$ 214,50","R$ 218,83","R$ 4,33","R$ 1.385,60",749618,20
2805266,1,NFL,483,FAS,SCO,18/4/2025,101384,FORNECEDOR,4508635315,10,739102859R,PEÇA,000399373-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2805267,1,NFL,483,FAS,SCO,18/4/2025,101384,FORNECEDOR,4508635316,10,739105089R,PEÇA,000399374-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2806138,1,NFL,483,FAS,SCO,19/4/2025,101517,FORNECEDOR,4508632784,10,484005466R,PEÇA,836216-1,440,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 13.345,20",586909,90
2806138,2,NFL,483,FAS,SCO,19/4/2025,101517,FORNECEDOR,4508632784,20,484005920R,PEÇA,836216-1,40,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 762,40",586909,180
2807372,1,NFL,483,FAS,SCO,22/4/2025,102294,FORNECEDOR,4508638991,10,679000282R,PEÇA,000207656-1,175,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 84,00",731927,30
2807449,1,NFL,483,SJP,SCO,22/4/2025,112619,FORNECEDOR,4508589516,10,62010J571R,PEÇA,808005-1,168,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 114,24",721563,10
2807974,1,NFL,483,FAS,SCO,23/4/2025,110781,FORNECEDOR,4508640329,10,738206375R,PEÇA,000129367-1,24,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 5.296,56",710695,10
2808128,1,NFL,483,FAS,SCO,23/4/2025,102294,FORNECEDOR,4508640972,10,679000282R,PEÇA,000207689-1,225,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 108,00",731927,30
2808192,2,NFL,483,FAS,SCO,23/4/2025,102294,FORNECEDOR,4508641230,20,671E51867R,PEÇA,000207697-1,240,"R$ 27,99","R$ 28,27","R$ 0,28","R$ 67,20",731927,20
2808192,3,NFL,483,FAS,SCO,23/4/2025,102294,FORNECEDOR,4508641230,30,679008655R,PEÇA,000207697-1,300,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 66,00",731927,40
2808323,1,NFL,483,FAS,SCO,23/4/2025,101517,FORNECEDOR,4508638960,10,484005466R,PEÇA,000836771-1,160,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 4.852,80",586909,90
2808587,1,NFL,483,FAS,SCO,23/4/2025,133453,FORNECEDOR,4508580069,10,739101733R,PEÇA,44241-1,18,"R$ 292,83","R$ 474,54","R$ 181,71","R$ 3.270,78",682692,210
2808672,1,NFL,483,FAS,SCO,23/4/2025,130936,FORNECEDOR,4508641986,10,749021165R,PEÇA,000048770-1,80,"R$ 119,77","R$ 123,92","R$ 4,15","R$ 332,00",551320,190
2808675,1,NFL,483,FAS,SCO,23/4/2025,130936,FORNECEDOR,4508641987,10,749021165R,PEÇA,000048771-1,120,"R$ 119,77","R$ 123,92","R$ 4,15","R$ 498,00",551320,190
2808780,1,NFL,483,FAS,SCO,23/4/2025,102294,FORNECEDOR,4508642176,10,679000282R,PEÇA,000207713-1,225,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 108,00",731927,30
2808796,1,NFL,483,FAS,SCO,23/4/2025,133453,FORNECEDOR,4508583314,10,638439537R,PEÇA,44278-1,22,"R$ 46,46","R$ 73,83","R$ 27,37","R$ 602,14",738541,20
2808799,1,NFL,483,FAS,SCO,23/4/2025,133453,FORNECEDOR,4508583315,10,638424203R,PEÇA,44279-1,23,"R$ 46,46","R$ 73,83","R$ 27,37","R$ 629,51",738541,10
2808867,1,NFL,483,FAS,SCO,24/4/2025,105066,FORNECEDOR,4508553978,10,282436833R,PEÇA,107930-3,14,"R$ 31,74","R$ 93,89","R$ 62,15","R$ 870,10",605564,70
2808867,2,NFL,483,FAS,SCO,24/4/2025,105066,FORNECEDOR,4508553978,20,282436956R,PEÇA,107930-3,33,"R$ 41,51","R$ 122,80","R$ 81,29","R$ 2.682,57",605564,80
2809210,1,NFL,483,FAS,SCO,24/4/2025,101384,FORNECEDOR,4508641097,10,739102859R,PEÇA,000399621-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2809211,1,NFL,483,FAS,SCO,24/4/2025,101384,FORNECEDOR,4508641098,10,739105089R,PEÇA,000399622-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,730
2809236,1,NFL,483,SJP,SCO,24/4/2025,101384,FORNECEDOR,4508641275,10,739102859R,PEÇA,000399663-1,135,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 683,10",526162,340
2809237,1,NFL,483,SJP,SCO,24/4/2025,101384,FORNECEDOR,4508641276,10,739105089R,PEÇA,000399664-1,270,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 1.366,20",526162,350
2809333,1,NFL,483,FAS,SCO,24/4/2025,119957,FORNECEDOR,4508639056,10,278600140R,PEÇA,203883-1,23,"R$ 5,22","R$ 6,85","R$ 1,63","R$ 37,49",542428,130
2810002,1,NFL,483,FAS,SCO,24/4/2025,102294,FORNECEDOR,4508648677,10,679000282R,PEÇA,000207740-1,125,"R$ 47,14","R$ 47,62","R$ 0,48","R$ 60,00",731927,30
2810129,1,NFL,483,FAS,SCO,24/4/2025,101384,FORNECEDOR,4508644852,10,739102859R,PEÇA,399721-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2810130,1,NFL,483,FAS,SCO,24/4/2025,101384,FORNECEDOR,4508644854,10,739105089R,PEÇA,399722-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,730
2810178,2,NFL,483,FAS,SCO,24/4/2025,102294,FORNECEDOR,4508641948,20,749401051R,PEÇA,207704-1,240,"R$ 3,82","R$ 4,15","R$ 0,33","R$ 79,20",4600016932,1390
2810373,3,NFL,483,SJP,SCO,24/4/2025,112619,FORNECEDOR,4508626165,30,62010J571R,PEÇA,810093-1,42,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 28,56",721563,10
2811805,1,NFL,483,FAS,SCO,26/4/2025,101384,FORNECEDOR,4508651057,10,739102859R,PEÇA,399844-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2811806,1,NFL,483,FAS,SCO,26/4/2025,101384,FORNECEDOR,4508651059,10,739105089R,PEÇA,399845-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,730
2812826,1,NFL,483,FAS,SCO,27/4/2025,133453,FORNECEDOR,4508653754,10,739102008R,PEÇA,45226-1,10,"R$ 177,88","R$ 202,14","R$ 24,26","R$ 242,60",682692,220
2813290,2,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508633797,20,671E51867R,PEÇA,207539-1,120,"R$ 27,99","R$ 28,27","R$ 0,28","R$ 33,60",731927,20
2813290,3,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508633797,30,679008655R,PEÇA,207539-1,150,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 33,00",731927,40
2813304,2,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508634009,20,671E51867R,PEÇA,207559-1,240,"R$ 27,99","R$ 28,27","R$ 0,28","R$ 67,20",731927,20
2813304,3,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508634009,30,679008655R,PEÇA,207559-1,150,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 33,00",731927,40
2813326,2,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508637545,20,671E51867R,PEÇA,207647-1,120,"R$ 27,99","R$ 28,27","R$ 0,28","R$ 33,60",731927,20
2813326,3,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508637545,30,679008655R,PEÇA,207647-1,150,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 33,00",731927,40
2813353,2,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508640461,20,671E51867R,PEÇA,207679-1,120,"R$ 27,99","R$ 28,27","R$ 0,28","R$ 33,60",731927,20
2813353,3,NFL,483,FAS,SCO,28/4/2025,102294,FORNECEDOR,4508640461,30,679008655R,PEÇA,207679-1,225,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 49,50",731927,40
2813511,1,NFL,483,FAS,SCO,28/4/2025,101517,FORNECEDOR,4508653530,10,484005466R,PEÇA,837425-1,360,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 10.918,80",586909,90
2813511,2,NFL,483,FAS,SCO,28/4/2025,101517,FORNECEDOR,4508653530,20,484005920R,PEÇA,837425-1,40,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 762,40",586909,180
2814909,1,NFL,483,SJP,SCO,30/4/2025,137008,FORNECEDOR,4508620772,10,671A06064R,PEÇA,53508-1,1.500,"R$ 2,78","R$ 3,63","R$ 0,85","R$ 1.275,00",619922,20
2818187,2,NFL,483,SJP,SCO,1/5/2025,132610,FORNECEDOR,4508637630,10,682380471R,PEÇA,000083844-1,1.800,"R$ 4,66","R$ 5,46","R$ 0,80","R$ 1.440,00",576332,180
2818322,1,NFL,483,SJP,SCO,1/5/2025,101384,FORNECEDOR,4508660113,10,739105089R,PEÇA,000400225-1,120,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 607,20",526162,350
2818829,1,NFL,483,FAS,SCO,2/5/2025,133453,FORNECEDOR,4508555838,10,739101733R,PEÇA,43785-1,4,"R$ 292,83","R$ 459,60","R$ 166,77","R$ 667,08",682692,210
2818994,1,NFL,483,FAS,SCO,2/5/2025,133453,FORNECEDOR,4508555839,10,739102008R,PEÇA,43789-1,9,"R$ 177,88","R$ 279,48","R$ 101,60","R$ 914,40",682692,220
2819562,1,NFL,483,SJP,SCO,3/5/2025,101384,FORNECEDOR,4508661526,10,739102859R,PEÇA,000400228-1,165,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 834,90",526162,340
2819742,1,NFL,483,FAS,SCO,3/5/2025,101517,FORNECEDOR,4508661912,10,484005466R,PEÇA,838047-1,360,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 10.918,80",586909,90
2819742,2,NFL,483,FAS,SCO,3/5/2025,101517,FORNECEDOR,4508661912,20,484005920R,PEÇA,838047-1,40,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 762,40",586909,180
2820069,9,NFL,483,SJP,SCO,5/5/2025,106382,FORNECEDOR,4508640306,90,223200867R,PEÇA,484557-5,200,"R$ 16,98","R$ 19,03","R$ 2,05","R$ 410,00",617560,120
2821068,1,NFL,483,FAS,SCO,6/5/2025,133051,FORNECEDOR,4508666961,10,488109327R,PEÇA,000112714-0,13,"R$ 960,96","R$ 1.758,45","R$ 797,49","R$ 10.367,37",558516,130
2822237,4,NFL,483,SJP,SCO,7/5/2025,103415,FORNECEDOR,4508640945,40,243229923R,PEÇA,209901-2,360,"R$ 4,56","R$ 4,75","R$ 0,19","R$ 68,40",665444,220
2822470,1,NFL,483,SJP,SCO,7/5/2025,146712,FORNECEDOR,4508657320,10,132011477R,PEÇA,5287-7,8.316,"R$ 4,26","R$ 4,64","R$ 0,38","R$ 3.160,08",726733,10
2822573,1,NFL,483,SJP,SCO,8/5/2025,137008,FORNECEDOR,4508665530,10,671A06064R,PEÇA,54040-1,1.500,"R$ 2,78","R$ 3,63","R$ 0,85","R$ 1.275,00",619922,20
2822779,1,NFL,483,FAS,SCO,8/5/2025,101384,FORNECEDOR,4508668340,10,739102859R,PEÇA,000400597-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2822806,1,NFL,483,SJP,SCO,8/5/2025,101384,FORNECEDOR,4508668384,10,739102859R,PEÇA,000400622-1,180,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 910,80",526162,340
2823371,1,NFL,483,SJP,SCO,8/5/2025,112619,FORNECEDOR,4508662405,10,62010J571R,PEÇA,812236-1,210,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 142,80",721563,10
2823392,4,NFL,483,SJP,SCO,8/5/2025,103415,FORNECEDOR,4508658120,40,363157867R,PEÇA,210069,360,"R$ 5,10","R$ 5,18","R$ 0,08","R$ 28,80",665444,100
2823392,3,NFL,483,SJP,SCO,8/5/2025,103415,FORNECEDOR,4508658120,30,668635019R,PEÇA,210069,360,"R$ 3,44","R$ 3,51","R$ 0,07","R$ 25,20",665444,210
2823541,3,NFL,483,FAS,SCO,9/5/2025,102294,FORNECEDOR,4508650412,30,679008655R,PEÇA,207778-1,150,"R$ 21,91","R$ 22,13","R$ 0,22","R$ 33,00",731927,40
2823697,1,NFL,483,FAS,SCO,9/5/2025,101384,FORNECEDOR,4508668341,10,739102624R,PEÇA,000400598-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,740
2823698,1,NFL,483,SJP,SCO,9/5/2025,101384,FORNECEDOR,4508673420,10,739105089R,PEÇA,000400620-1,105,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 531,30",526162,350
2823790,1,NFL,483,FAS,SCO,9/5/2025,101384,FORNECEDOR,4508670749,10,739102859R,PEÇA,000400712-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2823791,1,NFL,483,FAS,SCO,9/5/2025,101384,FORNECEDOR,4508670750,10,739105089R,PEÇA,000400713-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2824969,1,NFL,483,SJP,SCO,9/5/2025,112619,FORNECEDOR,4508662395,10,62010J571R,PEÇA,811604-1,42,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 28,56",721563,10
2825278,3,NFL,483,SJP,SCO,10/5/2025,124400,FORNECEDOR,4508673618,30,743238788R,PEÇA,000468280-1,450,"R$ 17,90","R$ 19,72","R$ 1,82","R$ 819,00",554404,510
2825310,1,NFL,483,FAS,SCO,10/5/2025,101384,FORNECEDOR,4508674283,10,739102859R,PEÇA,000400818-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2825311,1,NFL,483,FAS,SCO,10/5/2025,101384,FORNECEDOR,4508674284,10,739105089R,PEÇA,000400819-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2827275,1,NFL,483,FAS,SCO,13/5/2025,101517,FORNECEDOR,4508678910,10,484005466R,PEÇA,838730-1,120,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 3.639,60",586909,90
2827525,1,NFL,483,FAS,SCO,13/5/2025,101517,FORNECEDOR,4508678912,10,484005920R,PEÇA,838879-1,80,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 1.524,80",586909,180
2828144,1,NFL,483,FAS,SCO,14/5/2025,133051,FORNECEDOR,4508682195,10,488109327R,PEÇA,000112755-0,24,"R$ 960,96","R$ 1.758,45","R$ 797,49","R$ 19.139,76",558516,130
2828406,1,NFL,483,FAS,SCO,14/5/2025,101384,FORNECEDOR,4508683019,10,739105089R,PEÇA,000401169-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2828407,1,NFL,483,FAS,SCO,14/5/2025,101384,FORNECEDOR,4508683018,10,739102859R,PEÇA,000401168-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2828646,1,NFL,483,FAS,SCO,14/5/2025,133453,FORNECEDOR,4508538985,10,739101733R,PEÇA,43416-1,5,"R$ 292,83","R$ 459,60","R$ 166,77","R$ 833,85",682692,210
2829386,1,NFL,483,SJP,SCO,15/5/2025,101384,FORNECEDOR,4508683117,10,739102859R,PEÇA,000401231-1,150,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 759,00",526162,340
2829387,1,NFL,483,SJP,SCO,15/5/2025,101384,FORNECEDOR,4508683118,10,739105089R,PEÇA,000401232-1,240,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 1.214,40",526162,350
2830362,1,NFL,483,FAS,SCO,16/5/2025,101384,FORNECEDOR,4508685741,10,739102859R,PEÇA,000401277-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2830363,1,NFL,483,FAS,SCO,16/5/2025,101384,FORNECEDOR,4508685742,10,739105089R,PEÇA,000401278-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2830829,1,NFL,483,SJP,SCO,16/5/2025,112619,FORNECEDOR,4508662400,10,62010J571R,PEÇA,812224-1,252,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 171,36",721563,10
2831543,1,NFL,483,FAS,SCO,17/5/2025,101384,FORNECEDOR,4508685743,10,739102624R,PEÇA,000401279-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,740
2831698,1,NFL,483,FAS,SCO,17/5/2025,101384,FORNECEDOR,4508689790,10,739102859R,PEÇA,000401414-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2831699,1,NFL,483,FAS,SCO,17/5/2025,101384,FORNECEDOR,4508689791,10,739105089R,PEÇA,000401415-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2832304,1,NFL,483,FAS,SCO,18/5/2025,101384,FORNECEDOR,4508690052,10,739102624R,PEÇA,000401496-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,740
